brand,model,price,description,category,country,source,sourceType,url
Iconz,"ICONZ Aux Cable Gold Plated, 1Meter, Red",99LE,"ICONZ Aux Cable, 1 Meter- Red",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/iconz-aux-cable-g-plated1m-rd.html
Iconz,"ICONZ Aux Cable, 1Meter, Green",99LE,"ICONZ Aux Cable, 1Meter- Green",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/iconz-aux-cable-g-plated1m-gn.html
Iconz,ICONZ(IMN-SS02K)SelfieStick-BK,599LE,"ICONZ Selfie Stick, Black -IMN-SS02K",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/iconz-imn-ss02k-selfiestick-black.html
Iconz,ICONZ Aux Cable G.Plated1M BK,109LE,"ICONZ Aux Cable ,1 Metre, Black",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/iconz-aux-cable-g-plated1m-bk.html
Samsung,,315LE,"Samsung In-Ear Fit Earphone, White - EO-IG935BWEGWW",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/samsung-in-ear-fit-earphone-white-eo-ig935bwegww.html
Samsung,,995LE,Samsung Level U Wireless Headphones - Gold,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/samsung-level-u-wireless-headphones-gold.html
Hp,Earbuds Headset 150,180LE,"HP Earbuds Headset 150, Black- X7B04AA",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/hp-earbuds-headset-150-black-x7b04aa.html
Samsung,,85LE,X-Level Metallic Back Cover For Samsung Galaxy Grand Prime Plus - Rose Gold,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/x-level-metallic-back-cover-for-samsung-galaxy-grand-prime-plus-rose-gold.html
Samsung,,85LE,X-Level Metallic Back Cover For Samsung Galaxy Grand Prime Plus - Gold,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/x-level-metallic-back-cover-for-samsung-galaxy-grand-prime-plus-gold.html
Iconz,IMNHC62KC,260LE,"ICONZ High Speed HDMI Cable, 1.8M, Black - IMNHC62KC",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/iconz-high-speed-hdmi-cable-1-8m-black-imnhc62kc.html
Pins,MZ-41,255LE,"Pins Power Bank, 4000mAh, Black - MZ-41",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/pins-power-bank-4000mah-black-mz-41.html
Avantree,TR704,325LE,"Avantree Power Bank, 6000mAh, White and Yellow - TR704",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/avantree-power-bank-6000mah-white-and-yellow-tr704.html
Samsung,Metallic,85LE,X-Level Metallic Back Cover For Samsung Galaxy J7 Core - Rose Gold,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/x-level-metallic-back-cover-for-samsung-galaxy-j7-core-rose-gold.html
Samsung,Metallic,85LE,X-Level Metallic Back Cover For Samsung Galaxy J7 Prime - Rose Gold,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/x-level-metallic-back-cover-for-samsung-galaxy-j7-prime-rose-gold.html
Iconz,P602,350LE,"ICONZ Power Bank, 6000mAh, White - P602",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/iconz-power-bank-6000mah-white-p602.html
Iconz,P602,350LE,"ICONZ Power Bank, 6000mAh, Green - P602",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/iconz-power-bank-6000mah-green-p602.html
Iconz,P602,350LE,"ICONZ Power Bank, 6000mAh, Blue - P602",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/iconz-power-bank-6000mah-blue-p602.html
TP-Link,TL-PB5200,299LE,"TP-LINK Power Bank, 5200mAh, White - TL-PB5200",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/tp-link-power-bank-white-tl-pb5200.html
iKU,,185LE,iKU Home Charger 4Port - Yellow,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/iku-home-charger-4port-yellow.html
iKU,,185LE,iKU Home Charger 4Port - Black,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/iku-home-charger-4port-black.html
Samsung,,315LE,Samsung In-Ear Fit Headphone- Red,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/samsung-in-ear-fit-headphone-red.html
Samsung,,435LE,Samsung Multi Charging Cable- White,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/samsung-multi-charging-cable-white.html
Sandisk,,180LE,Sandisk Ultra Micro SD Card Class 10 - 32GB,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/sandisk-ultra-micro-sd-card-class-10-32gb.html
Samsung,,169LE,"Samsung In-Ear Headphone, Pink- HS130",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/samsung-in-ear-headphone-pink-hs130.html
Kingston,,199LE,Kingston Micro SD Card Class 10 G2- 32GB,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/kingston-micro-sd-card-class-10-g2-32gb.html
Samsung,,169LE,"Samsung In-Ear Headphone, Green- HS130",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/samsung-in-ear-headphone-green-hs130.html
Samsung,,169LE,"Samsung In-Ear Headphone, Blue- HS130",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/samsung-in-ear-headphone-blue-hs130.html
Samsung,,169LE,"Samsung In-Ear Headphone, Black- HS130",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/samsung-in-ear-headphone-black-hs130.html
Samsung,,299LE,"Samsung Fast Charger Adapter For Smartphones, 2 Pin - EP-TA20EWEUGWW",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/samsung-fast-charger-adapter-for-smartphones-2-pin-ep-ta20eweugww.html
Apple,,869LE,Apple EarPods with Remote And Mic- White,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/apple-earpods-with-remote-and-mic-white.html
Beats,,"5,800LE",Apple Beats Solo3 Wireless On-Ear Headphones – Silver,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/apple-beats-solo3-wireless-on-ear-headphone-silver-1.html
Silicon Power,Boost Link Nylon,175LE,"Silicon Power Boost Link Nylon Type-C Cable, Grey- LK30AC",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/silicon-power-cable-grey-lk30ac.html
Wave,,55LE,Wave Screen Protector for Xiaomi Redmi Note 5A,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/wave-screen-protector-for-xiaomi-redmi-note-5a.html
Silicon Power,HX UHS-1,899LE,Silicon Power Elite Micro SD Card XC UHS-1 Class10 - 128GB,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/silicon-power-elite-micro-sdcard-128gb.html
Silicon Power,Boost Link Nylon,125LE,"Silicon Power Boost Link Nylon Micro USB Cable, Pink- LK30AB",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/silicon-power-cable-pink-lk30ab.html
Silicon Power,HX UHS-1,399LE,Silicon Power Elite Micro SD Card XC UHS-1 Class10 - 64GB,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/silicon-power-elite-micro-sdcard-64gb.html
Silicon Power,Boost Link Nylon,125LE,"Silicon Power Boost Link Nylon Micro USB Cable, Grey- LK30AB",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/silicon-power-cable-grey-lk30ab.html
Silicon Power,Boost Link Nylon,125LE,"Silicon Power Boost Link Nylon Micro USB Cable, Black- LK30AB",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/silicon-power-cable-black-lk30ab.html
APC,,479LE,"APC Li-polymer Power Bank, 5000 mAh- Black",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/apc-li-polymer-power-bank-5000-mah-black.html
Wave,,55LE,Wave Screen Protector For iPhone 6,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/wave-screen-protector-for-iphone-6.html
Silicon Power,Boost Link Nylon,249LE,"Silicon Power Boost Link Nylon Lightening Cable, Pink- LK30AL",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/silicon-power-cable-pink-lk30al.html
Samsung,,"2,799LE","Samsung Gear VR With Controller, Black- SM-R324N",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/samsung-gear-vr-with-controller-black-sm-r324n.html
Silicon Power,Boost Link Nylon,249LE,"Silicon Power Boost Link Nylon Lightening Cable, Grey- LK30AL",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/silicon-power-cable-grey-lk30al.html
Xiaomi,,199LE,Xiaomi Mi VR Play Glasses- Black,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/xiaomi-mi-vr-play-glasses-black.html
Wave,,55LE,Wave Screen Protector for Huawei Mate 10 Lite,Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/wave-screen-protector-for-huawei-mate-10-lite.html
Samsung,Galaxy A7 2018,"5,999LE","Samsung Galaxy A7 2018 Dual Sim, 128GB, 4G LTE - Gold",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/samsung-galaxy-a7-2018-128gb-blue.html
Tecno,SPARK 2 KA70,"2,099LE","Tecno SPARK 2 KA70 Dual Sim, 16GB, 3G - Black",Mobile Phones,Egypt,B-Tech (Egypt),online,https://btech.com/en/tecno-spark-2-ka70-3g-black.html
