brand,model,price,description,category,country,source,sourceType,url
Philips,55PUT5800,"11,199.00Â EGP",Philips 55 Inch 4K UHD TV - 55PUT5800,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/uhd-tvs/uhd-tv-50-above/led-tv-55-philips-55put5800-uhd/p/472035
Samsung,UA55MU7350,"10,999.00Â EGP",Samsung 55 Inch Smart Curved 4K UHD TV - UA55MU7350,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/curved-tvs/curved-tv/led-tv-55-samsung-ua55mu7350-uhd-cr/p/472471
Samsung,QA65Q8C,"69,999.00Â EGP",Samsung 65 Inch Smart Curved 4K UHD QLED TV - QA65Q8C,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/curved-tvs/curved-tv/qled-tv-65-samsung-qa65q8c-uhd-cr/p/471665
Unionaire,55UN-SM638,"8,999.00Â EGP",Unionaire 55 Inch Smart 4K UHD TV - 55UN-SM638,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/uhd-tvs/uhd-tv-50-above/led-55-unionaire-55un-sm638-uhd/p/480851
Prima,PLD6055CS,"11,699.00Â EGP",Prima 55 Inch Smart Curved Full HD TV - PLD6055CS,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/curved-tvs/curved-tv/led-55-prima-pld6055cs-curve-smart/p/466396
Toshiba,49U8660EA,"9,999.00Â EGP",Toshiba 49 Inch Smart 4K UHD With Built in Receiver TV - 49U8660EA,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/uhd-tvs/uhd-tv-40-to-50-/led-tv-49-toshiba-49u8660ea-uhd-s-r/p/465646
LED,43LJ614T,"7,299.00Â EGP",LED TV 43 LG 43LJ614T SMART,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-tv-43-lg-43lj614t-smart/p/491093
Samsung,UA40J5200,"6,399.00Â EGP",Samsung 40 Inch Smart Full HD TV - UA40J5200,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-tv-40-samsung-ua40j5200-smart/p/437847
Sharp,LC-40LE2800X,"5,799.00Â EGP",Sharp 40 Inch Full HD TV - LC-40LE2800X,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-tv-40-sharp-lc-40le2800x/p/459356
JAC,T-49AS,"6,299.00Â EGP",JAC 49 Inch Full HD TV - T-49AS,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-46-above/led-49-jac-t-49as/p/460178
Nokia,NK-49D1,"6,099.00Â EGP",Nokia Egypt 49 Inch Full HD TV - NK-49D1,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-46-above/led-49-nokia-egypt-nk-49d1/p/480168
LG,32LJ570U,"4,299.00Â EGP",LG 32 Inch Smart Full HD With Built in Receiver TV - 32LJ570U,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-32/led-tv-32-lg-32lj570u-smart-rcvr/p/471718
Toshiba,43L570MEA,"6,849.00Â EGP",Toshiba 43 Inch Smart Full HD TV - 43L570MEA,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-43-toshiba-43l570mea-smart/p/477943
Panasonic,TH-32E312M,"3,449.00Â EGP",Panasonic 32 Inch HD TV - TH-32E312M,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-32/led-tv-32-panasonic-th-32e312m/p/478106
Nokia,Nokia Egypt 42 Inch HD TV,"3,999.00Â EGP",Nokia Egypt 42 Inch HD TV,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-42-nokia-egypt-nk-42/p/439216
LG,49LJ510V,"7,999.00Â EGP",LG 49 Inch Full HD TV With Built-in receiver - 49LJ510V,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-46-above/led-tv-49-lg-49lj510v-rcvr/p/471724
Nokia,NK-49D1,"6,399.00Â EGP",Nokia Egypt 49 Inch Smart Full HD TV - NK-49D1,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-46-above/led-49-nokia-egypt-nk-49d1-smart/p/480169
BTC,32L40-EXL,"2,849.00Â EGP",BTC 32 Inch HD TV - 32L40-EXL,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-32/led-tv-32-btc-32l40-exl/p/473488
G-HANZ,32PL12,"2,649.00Â EGP",LED 32 G-HANZ 32PL12,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-32/led-32-g-hanz-32pl12/p/414835
LG,65SJ800V,"35,999.00Â EGP",LG 65 Inch Smart 4K SUHD TV With Built-in receiver - 65SJ800V,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/s-uhd-tvs/suhd-tv/led-tv-65-lg-65sj800v-suhd-smrt-rcv/p/471741
Samsung,QA55Q7F,"34,999.00Â EGP",Samsung 55 Inch Smart 4K UHD QLED TV - QA55Q7F,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/curved-tvs/curved-tv/qled-tv-55-samsung-qa55q7f-cr-sm/p/478853
Samsung,UA65MU7000,"20,999.00Â EGP",Samsung 65 Inch Smart 4K UHD TV - UA65MU7000,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/curved-tvs/curved-tv/led-tv-65-samsung-ua65mu7000-uhd/p/478856
LG,55UK6300PVB,"10,999.00Â EGP",LG 55 Inch 4K UHD Smart TV with Built In Receiver- 55UK6300PVB,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/uhd-tvs/uhd-tv-50-above/led-tv-55-lg-55uk6300pvb-uhd-smart/p/487141
LG,49UK6300,"9,399.00Â EGP",LG 49 Inch Smart 4K UHD With Built in Receiver TV - 49UK6300,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/uhd-tvs/uhd-tv-40-to-50-/led-tv-49-lg-49uk6300-uhd-smart-rcv/p/488016
LG,43UJ630V,"8,499.00Â EGP",LG 43 Inch Smart UHD TV With Built-in receiver - 43UJ630V,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/uhd-tvs/uhd-tv-40-to-50-/led-tv-43-lg-43uj630v-uhd-smrt-rcvr/p/471722
LG,49LK5730,"8,199.00Â EGP",LG 49 Inch Smart Full HD With Built in Receiver TV - 49LK5730,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-46-above/led-tv-49-lg-49lk5730-smart-rcvr/p/488015
LED,UA49N5300,"7,777.00Â EGP",LED TV 49 SAMSUNG UA49N5300 SMRT RC,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-46-above/led-tv-49-samsung-ua49n5300-smrt-rc/p/490742
Toshiba,49L571MEA-B,"7,399.00Â EGP",Toshiba 49 Inch Smart Full HD TV - 49L571MEA-B,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-46-above/led-49-toshiba-49l571mea-smart/p/486102
Ricoh,PJ X2340,"6,999.00Â EGP",Ricoh Projector - PJ X2340,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/video-projectors/proj-ricoh-pj-x2340/p/481557
Panasonic       TH-43E312M,,"6,899.00Â EGP",Panasonic 43 Inch Full HD TV - TH-43E312M,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-tv-43-panasonic-th-43e312m/p/478107
Samsung,UA43N5300,"6,799.00Â EGP",Samsung 43 Inch Smart Full HD With Built in Receiver TV - UA43N5300,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-tv-43-samsung-ua43n5300-smrt-rc/p/490740
JAC,55AS,"6,699.00Â EGP",JAC 55 Inch Full HD TV - 55AS,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-46-above/led-55-jac-55as/p/471586
Toshiba,43L571MEA-B,"6,599.00Â EGP",Toshiba 43 Inch Smart Full HD TV - 43L571MEA-B,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-43-toshiba-43l571mea-smart/p/486101
LG,43LJ510V,"6,499.00Â EGP",LG 43 Inch Full HD TV - 43LJ510V,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-tv-43-lg-43lj510v-rcvr/p/471719
LED,UA43N5000,"6,299.00Â EGP",LED TV 43 SAMSUNG UA43N5000 RCVR,Televisions, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-tv-43-samsung-ua43n5000-rcvr/p/490739
