brand,model,price,description,category,country,source,sourceType,url
JBL,,49 999 Ft,"JBL Charge 3 vízálló Bluetooth hangszóró, Kék",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/jbl-charge-3-vizallo-bluetooth-hangszoro-kek/p/209363
Sony,DVPSR370B,11 999 Ft,Sony DVPSR370B DVD lejátszó,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/sony-dvpsr370b-dvd-lejatszo/p/155025
Kello,102MF,7 999 Ft,"Kello 102MF Dönthető és Fordítható Falitartó (13""-47"")",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/kello-102mf-dontheto-es-fordithato-falitarto-13-47/p/160779
Hama,108716,6 499 Ft,"Hama 108716 Dönthető Falitartó (32""-50"")",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/hama-108716-dontheto-falitarto-32-50/p/211308
Sony,BDVE2100,79 999 Ft,Sony BDVE2100 Házimozi Rendszer,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/sony-bdve2100-hazimozi-rendszer/p/167230
Sony,DVPSR760HB,14 999 Ft,Sony DVPSR760HB DVD lejátszó,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/sony-dvpsr760hb-dvd-lejatszo/p/150925
Viva,,,"Viva WM 8045 Dönthető és Forgatható Falitartó (40""-80"")",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/viva-wm-8045-dontheto-es-forgathato-falitarto-40-80/p/210221
PANASONIC,SC-PM250EC-S,28 999 Ft,PANASONIC SC-PM250EC-S,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/panasonic-sc-pm250ec-s/p/166821
Sony,MDR-EX15APB,3 299 Ft,"Sony MDR-EX15APB Sztereo Fülhallgató, Fekete",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/sony-mdr-ex15apb-sztereo-fulhallgato-fekete/p/160734
Samsung,HT-J4530/EN,64 999 Ft,Samsung HT-J4530/EN Házimozi rendszer,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/samsung-ht-j4530-en-hazimozi-rendszer/p/198566
Skullcandy,S2DUFZ-385,2 499 Ft,"Skullcandy S2DUFZ-385 JIB Fülhallgató, Szürke/Zöld",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/skullcandy-s2dufz-385-jib-fulhallgato-szurke-zold/p/162807
Alcor,HDC-3500,8 999 Ft,Alcor HDC-3500 DVB-C Beltéri Egység,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/alcor-hdc-3500-dvb-c-belteri-egyseg/p/201985
Hama,108779,10 999 Ft,"Hama 108779 Full Motion Falikonzol (23""-50"")",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/hama-108779-full-motion-falikonzol-23-50/p/146878
MindigTV,,22 990 Ft,MindigTV - Alapcsomag CA Modullal 6 Hónap (Előre Fizetett),tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/mindigtv---alapcsomag-ca-modullal-6-honap-elore-fizetett/p/165987
Skullcandy,S2DUDZ-058,2 499 Ft,"Skullcandy S2DUDZ-058 JIB Fülhallgató, Rasta",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/skullcandy-s2dudz-058-jib-fulhallgato-rasta/p/141548
Sony,MDR-E9LPB,2 199 Ft,"Sony MDR-E9LPB Sztereo Fülhallgató, Fekete",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/sony-mdr-e9lpb-sztereo-fulhallgato-fekete/p/153803
THOMSON,CR50,4 949 Ft,THOMSON CR50 Ébresztőórás rádió,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/thomson-cr50-ebresztooras-radio/p/209227
Hama,96039,9 699 Ft,"Hama 96039 Full Motion Falitartó (10""-42"")",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/hama-96039-full-motion-falitarto-10-42/p/146111
JBL,GO,6 999 Ft,"JBL GO Bluetooth Hangszóró, Fekete",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/jbl-go-bluetooth-hangszoro-fekete/p/202270
Sony,CFD-S70,19 999 Ft,"Sony CFD-S70 Rádió, fekete",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/sony-cfd-s70-radio-fekete/p/207747
Hama,135615,1 649 Ft,"Hama 135615 Basic Sztereo Fülhallgató, Fekete",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/hama-135615-basic-sztereo-fulhallgato-fekete/p/201509
MinDig,,35 500 Ft,MinDig TV Extra - Feltöltőkártya Családi Csomag 12 Hónap,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/mindig-tv-extra---feltoltokartya-csaladi-csomag-12-honap/p/142474
MinDig,,21 500 Ft,MinDig TV Extra - Feltöltőkártya Alapcsomag 12 Hónap,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/mindig-tv-extra---feltoltokartya-alapcsomag-12-honap/p/134075
