brand,model,price,description,category,country,source,sourceType,url
HISENSE,55A6100UW,"R7,999.00","HISENSE - 55"" UHD SMART TV 55A6100UW",Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/television-%26-satellite/tvs/55%22-uhd-smart-tv-55a6100uw/p/00781206
SAMSUNG,40N5000,"R4,799.00","SAMSUNG -40"" FULL HD LED TV",Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/television-%26-satellite/tvs/40%22-full-hd-led-tv/p/00784497
HISENSE,HN32N2176H,"R2,499.00","HISENSE -32"" HD READY TV HN32N2176H",Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/television-%26-satellite/tvs/32%22-hd-ready-tv-hn32n2176h/p/00785867
HISENSE,65A6100UW,"R16,999.00","HISENSE - 65"" UHD SMART TV 65A6100UW",Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/television-%26-satellite/tvs/65%22-uhd-smart-tv-65a6100uw/p/00781213
SAMSUNG,49NU7300,"R9,999.00","SAMSUNG -49"" UHD CURVE LED TV",Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/television-%26-satellite/tvs/49%22-uhd-curve-led-tv/p/00786883
HISENSE,HN39N2176F,"R3,999.00","HISENSE -39"" FHD LED TV HN39N2176F",Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/television-%26-satellite/tvs/39%22-fhd-led-tv-hn39n2176f/p/00779270
SINOTEC,,"R1,799.00",SINOTEC - '24'' HD Ready LED TV',Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/television-%26-satellite/tvs/%2724%27%27-hd-ready-led-tv%27/p/00758417
JVC,LT-55N875,"R8,499.00","JVC - 55"" UHD Smart LED TV with Built-in Soundbar LT-55N",Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/television-%26-satellite/tvs/55%22-uhd-smart-led-tv-with-built-in-soundbar-lt-55n/p/00755994
VOLKANO,VB-VH100-RD,R299.00,VOLKANO - Impulse BT Headphone Red VB-VH101,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/personal-audio/headphones/impulse-bt-headphone-red-vb-vh101/p/00736626
SHOX,ESX532,R699.00,SHOX -SHOX GHETTO BOSS BLUETOOTH SPEAKER ESX532,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/personal-audio/wireless-speakers/shox-ghetto-boss-bluetooth-speaker-esx532/p/00758351
JBL,,R799.00,JBL - GO SPEAKER WITH T110BT HEADPHONE,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/personal-audio/wireless-speakers/go-speaker-with-t110bt-headphone/p/00790030
VOLKANO,VK-3009-PRGN,R399.00,VOLKANO -CARNIVAL BLUETOOTH KARAOKE SPEAKER VK-3009-PRGN,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/personal-audio/wireless-speakers/carnival-bluetooth-karaoke-speaker-vk-3009-prgn/p/00769804
AMPLIFY,AMP-3100-BK,R129.00,AMPLIFY - MINI BLUETOOTH SPEAKER BONGO AMP-3100-BK,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/personal-audio/wireless-speakers/mini-bluetooth-speaker-bongo-amp-3100-bk/p/00770109
VOLKANO,VK-30003- BK,R599.00,VOLKANO - TORNADO BLUETOOTH SPEAKER BLACK VK-30003,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/personal-audio/wireless-speakers/tornado-bluetooth-speaker-black-vk-30003/p/00741062
POLAROID,PBS388,R249.00,POLAROID - WIRELESS BLUETOOTH SPEAKER PBS388,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/personal-audio/wireless-speakers/wireless-bluetooth-speaker-pbs388/p/00746286
POLAROID,PHP742  BLUE,R120.00,POLAROID - Sports Earhooks Blue Php742,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/personal-audio/headphones/sports-earhooks-blue-php742/p/00715592
VOLKANO,VK-3009-BK,R399.00,VOLKANO - CARNIVAL BLUETOOTH KARAOKE SPEAKER VK-3009-BK,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/personal-audio/wireless-speakers/carnival-bluetooth-karaoke-speaker-vk-3009-bk/p/00769821
RETRO,,R349.00,RETRO - POCKET CONSOLE,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/gaming/consoles/pocket-console/p/00786902
XBOX,,"R5,299.00",XBOX -Xbox One S 1TB,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/gaming/consoles/xbox-one-s-1tb/p/00758090
SHOX,,R999.00,SHOX -  RAPTOR PLUS,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/lifestyle-technology/drones-%26-gadgets/raptor-plus/p/00763923
PLAYSTATION,,"R5,999.00",PLAYSTATION -  1TB+GT Sports,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/gaming/1tb%2bgt-sports/p/00774267
B-FIT,V910010,R399.00,B-FIT - Move 2.0 Fitness tracker,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/lifestyle-technology/smart-watches/move-2-0-fitness-tracker/p/00755595
PLAYSTATION,,"R1,099.95",PLAYSTATION -  FIFA 19,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/gaming/fifa-19/p/00786201
B-FIT,V910030,R399.00,B-FIT -  Smart Scale,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/lifestyle-technology/smart-watches/smart-scale/p/00763833
PLAYSTATION,,R699.00,PLAYSTATION - Gran Turismo Sport,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/gaming/games/gran-turismo-sport/p/00745685
XBOX,,R999.00,XBOX - Wireless Controller White,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/gaming/accessories/wireless-controller-white/p/00743659
DStv,4137,R599.00,DStv -  HD Decoder 4137 Fully Installed 5S and 5U,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/television-%26-satellite/decoders-%26-satellite/hd-decoder-4137-fully-installed-5s-and-5u/p/00770463
STARSAT,HST15-HFB,R499.00,STARSAT - Starsat HD PVR Decoder & Installation,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/television-%26-satellite/decoders-%26-satellite/starsat-hd-pvr-decoder-%26-installation/p/00760528
DStv,,R399.00,DStv - HD Decoder 4137 5S and 5U,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/television-%26-satellite/decoders-%26-satellite/hd-decoder-4137-5s-and-5u/p/00770466
ELLIES,,R99.00,ELLIES -OVHD Remote Control,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/television-%26-satellite/decoders-%26-satellite/ovhd-remote-control/p/00646441
ELLIES,,R249.00,ELLIES - Switch Mode Power Supply,Electronics,South Africa,Game South Africa,online,https://www.game.co.za/game-za/en/all-game-categories/electronics-%26-entertainment/television-%26-satellite/decoders-%26-satellite/switch-mode-power-supply/p/00646439
