brand,model,price,description,category,country,source,sourceType,manufacturer,trademark,url
SAMSUNG,QE65Q900RATXXH,1600.000Ft,SAMSUNG QE65Q900RATXXH 8K QLED televízió,Televisions,Hungary,MediaMarkt (Hungary),online,SAMSUNG,,https://www.mediamarkt.hu/hu/product/_samsung-qe65q900ratxxh-8k-qled-telev%C3%ADzi%C3%B3-1270795.html
SAMSUNG,QE65Q8CNATXXH,654.999Ft,SAMSUNG QE65Q8CNATXXH ívelt 4K UHD Smart QLED televízió,Televisions,Hungary,MediaMarkt (Hungary),online,SAMSUNG,,https://www.mediamarkt.hu/hu/product/_samsung-qe65q8cnatxxh-%C3%ADvelt-4k-uhd-smart-qled-telev%C3%ADzi%C3%B3-1258955.html
SAMSUNG,QE55Q7FNATXXH,413.999Ft,SAMSUNG QE55Q7FNATXXH 4K UHD Smart QLED televízió,Televisions,Hungary,MediaMarkt (Hungary),online,SAMSUNG,,https://www.mediamarkt.hu/hu/product/_samsung-qe55q7fnatxxh-4k-uhd-smart-qled-telev%C3%ADzi%C3%B3-1258966.html
SAMSUNG,QE65Q7FNATXXH,649.999Ft,SAMSUNG QE65Q7FNATXXH 4K UHD Smart QLED televízió,Televisions,Hungary,MediaMarkt (Hungary),online,SAMSUNG,,https://www.mediamarkt.hu/hu/product/_samsung-qe65q7fnatxxh-4k-uhd-smart-qled-telev%C3%ADzi%C3%B3-1258956.html
SAMSUNG,QE75Q7FNATXXH,859.990Ft,SAMSUNG QE75Q7FNATXXH 4K UHD Smart QLED televízió,Televisions,Hungary,MediaMarkt (Hungary),online,SAMSUNG,,https://www.mediamarkt.hu/hu/product/_samsung-qe75q7fnatxxh-4k-uhd-smart-qled-telev%C3%ADzi%C3%B3-1258949.html
SAMSUNG,QE75Q900RATXXH,2200.000Ft,SAMSUNG QE75Q900RATXXH 8K QLED televízió,Televisions,Hungary,MediaMarkt (Hungary),online,SAMSUNG,,https://www.mediamarkt.hu/hu/product/_samsung-qe75q900ratxxh-8k-qled-telev%C3%ADzi%C3%B3-1270794.html
SAMSUNG,QE85Q900RATXXH,4700.000Ft,SAMSUNG QE85Q900RATXXH 8K QLED televízió,Televisions,Hungary,MediaMarkt (Hungary),online,SAMSUNG,,https://www.mediamarkt.hu/hu/product/_samsung-qe85q900ratxxh-8k-qled-telev%C3%ADzi%C3%B3-1270793.html
SAMSUNG,QE65Q9FNATXXH,719.990Ft,SAMSUNG QE65Q9FNATXXH 4K UHD Smart QLED televízió,Televisions,Hungary,MediaMarkt (Hungary),online,SAMSUNG,,https://www.mediamarkt.hu/hu/product/_samsung-qe65q9fnatxxh-4k-uhd-smart-qled-telev%C3%ADzi%C3%B3-1258953.html
SAMSUNG,QE82Q6FNATXXH,953.990Ft,SAMSUNG QE82Q6FNATXXH 4K UHD Smart QLED televízió,Televisions,Hungary,MediaMarkt (Hungary),online,SAMSUNG,,https://www.mediamarkt.hu/hu/product/_samsung-qe82q6fnatxxh-4k-uhd-smart-qled-telev%C3%ADzi%C3%B3-1258946.html
SAMSUNG,QE65Q6FNATXXH,422.999Ft,SAMSUNG QE65Q6FNATXXH 4K UHD Smart QLED televízió,Televisions,Hungary,MediaMarkt (Hungary),online,SAMSUNG,,https://www.mediamarkt.hu/hu/product/_samsung-qe65q6fnatxxh-4k-uhd-smart-qled-telev%C3%ADzi%C3%B3-1258957.html
