brand,model,price,description,category,country,source,sourceType,url
IKU,T1,949.00 EGP,"IKU T1 Dual SIM Tablet, 8GB, 1GB RAM, 3G – Grey",Android Tablets, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/tablets/tablet-pc/iku-tablet-t1/p/499008
iQ& T,G705QC,"1,099.00 EGP","iQ& T G705QC Tablet, 7 Inch, 8GB, 1 GB RAM, 3G - Black + Leather Case",Android Tablets, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/tablets/tablet-pc/iq-t-tab-g705-qc-1r-8gb-3g-ds-blk/p/485176
Alcatel,9003X,"1,249.00 EGP","Alcatel 9003X Pixi 4 Tablet, 7 Inch,16GB, 1GB RAM, 3G - White",Android Tablets, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/tablets/tablet-pc/alcatel-tab-pixi4-1g-16-7/p/477533
Philips,TLE722G,899.00 EGP,"Philips Tablet TLE722G, 8GB, 1GB RAM, 3G - Black",Android Tablets, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/tablets/tablet-pc/philips-tab-tle722g-1-8g-3gv-7-ds/p/488369
Lenovo,TB-7104,"1,449.00 EGP","Lenovo TB-7104 Tablet, 7 Inch, 16 GB, 1GB RAM, 3G - Black",Android Tablets, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/tablets/tablet-pc/lenovo-tab-7104-qc-1g-16-3gv-7/p/499839
QC,1-8G,"1,279.00 EGP",ATOUCH KIDS TAB QC 1-8G 7+FREE MOB,Android Tablets, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/tablets/tablet-pc/atouch-kids-tab-qc-1-8g-7-free-mob/p/489766
Gamma-a,1R-8G,"1,499.00 EGP",GAMA KIDS TAB QC 1R-8G 7+KD.COVER,Android Tablets, Egypt,Carrefour Egypt,online,ttps://www.carrefouregypt.com/mafegy/en/smartphones-tablets/tablets/tablet-pc/gama-kids-tab-qc-1r-8g-7-kd-cover/p/487656
Gamma-a,Edu 7,"1,399.00 EGP","Gamma Tab Edu 7, 7 inch, 8GB, 1GB RAM, 3G - White",Android Tablets, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/tablets/tablet-pc/tab-edu-7-dual-sim-gamma/p/480937
IQ&T,G704,"1,199.00 EGP","IQ&T G704 Tablet - 7 inch, 8GB, 1GB RAM, 3G - Black",Android Tablets, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/tablets/tablet-pc/tab-g704-dc-1g-8-3g-7-iq-t/p/471038
Alcatel,Pixi 3,"2,999.00 EGP","Alcatel Pixi 3 Tablet, 10.1 Inch, 8GB, 1GB RAM, 3G - Black",Android Tablets, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/tablets/tablet-pc/tab-pixi3-1g-16-10-alcatel/p/477536
