brand,model,price,description,category,country,source,sourceType,url
AData,UHS-I,69.00 EGP,"AData Micro SD Memory Card - 16GB, Class 10 - UHS-I",Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/photography/memory-cards/memory-sd-cards/adata-micro-sd-16gb-uhs-i-class10/p/499420
Kingston,,85.00 EGP,Kingston 16 GB Micro SD CLASS 4,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/photography/memory-cards/memory-sd-cards/me-card-sdc4-16gb-kingston/p/450583
Sandisk,SDSDQM-016G-B35,99.00 EGP,Sandisk 16GB MicroSD Memory Card - SDSDQM-016G-B35,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/photography/memory-cards/memory-sd-cards/m-c-sdsdqm-016g-b35-sandisk/p/419481
Kingston,,139.00 EGP,Kingston 32 GB Micro SD Class 4,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/photography/memory-cards/memory-sd-cards/me-card-sdc4-32gb-kingston/p/450584
Kingston,,159.00 EGP,Kingston 32 GB Micro SD Class 10,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/photography/memory-cards/memory-sd-cards/me-card-sdc10-32gb-kingston/p/450587
Sandisk,,175.00 EGP,Sandisk 16GB Ultra MicroSDHC Class 10 Memory Card,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/photography/memory-cards/memory-sd-cards/sdsqunb-016g-gn3mn-sandisk/p/441868
Sandisk,,239.00 EGP,Sandisk 32GB Ultra MicroSDHC Class 10 Memory Card,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/photography/memory-cards/memory-sd-cards/sdsqunb-032g-gn3mn-sandisk/p/441869
Fujifilm,,"1,399.00 EGP",Fujifilm Instax Mini Hello Kitty Instant Camera with Film Sheet Soulder Strap and Sticker Sheet Pink,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/photography/camera/digital-slim-cameras/fujifilm-camera-instax-hello-kitty/p/487413
IQ&T,WDV8000,"1,399.00 EGP","IQ&T sport camera WDV8000 ,16 MP",Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/photography/camera/digital-slim-cameras/sport-camera-wdv8000-iq-t/p/458326
Fujifilm,instax,"1,599.00 EGP",Fujifilm instax wide camera 210,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/photography/camera/digital-slim-cameras/fujifilm-instax-wide-camera/p/455578
Canon,IXUS 185,"1,699.00 EGP","Canon Digital Camera, 20 Megapixel - IXUS 185",Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/photography/camera/digital-bridge-cameras/digcam-ixus-185-canon/p/477730
JAC,E/AS,"1,899.00 EGP",JAC 32 Inch HD TV - E/AS,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-32/led-32-jac-32n-32as/p/376277
Unionaire,TL32UR42P/G,"2,199.00 EGP",Unionaire 32 Inch HD LED TV - TL32UR42P/G,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-32/led-tv-32-unionaire-l-tl32ur42p-g/p/500249
G-Hanz,32PL12,"2,449.00 EGP",G-Hanz 32 Inch LED Full HD TV - 32PL12,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-32/led-32-g-hanz-32pl12/p/414835
Tornado,32EL8250,"2,699.00 EGP",Tornado 32 Inch HD TV - 32EL8250,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-32/led-tv-32-tornado-32el8250e/p/500363
Unionaire,32UN-56PB816,"2,799.00 EGP",Unionaire 32 Inch HD TV - 32UN-56PB816,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-32/led-tv-32-unionaire-32un-56pb816/p/474154
Toshiba,32L2600EA,"3,099.00 EGP",Toshiba 32 Inch HD TV - 32L2600EA,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-32/led-tv-32-toshiba-32l2600ea/p/457282
JAC,40AS-E,"3,199.00 EGP",JAC 40 Inch Full HD TV - 40AS-E,Electronics, Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/electronics/tvs/led-tvs/led-tv-37-to-43-/led-40-jac-40n-40as/p/486868
