brand,model,price,description,category,country,source,sourceType,url
Infinix,"
          Mediatek","2,850.00 EGP","Infinix Note 4 X572 Dual SIM - 16GB, 2GB RAM, 4G LTE - Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/infinix-note4-x572-gold/p/486771
Lenovo,"
          Qualcomm MSM8937 SNAPDRAGON 430","2,599.00 EGP","Lenovo K6 Note Dual SIM - 32GB, 3GB RAM, 4G LTE - Grey",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/lenovo-k6-note-grey/p/486752
Infinix,"
          Mediatek","2,850.00 EGP","Infinix Note 4 X572 Dual SIM - 16GB, 2GB RAM, 4G LTE - Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/infinix-note4-x572-black/p/486772
Gionee,"
          Mediatek MT6737T","2,199.00 EGP","Gionee P8 Max Dual Sim - 32GB, 3GB RAM, 4G LTE, Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mbl-p8max-gionee/p/463046
Alcatel,2008D,525.00 EGP,Alcatel 2008D Dual Sim,Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mbl-2008d-alcatel/p/477749
Hoco,B29A,679.00 EGP,Hoco Power Bank 15000 mAh - B29A,Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/phone-accessories/power-banks/hoco-b29a-15000-mah-domon-power-ban/p/487627
Hoco,B29,490.00 EGP,Hoco Power Bank 10000 mAh - B29,Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/phone-accessories/power-banks/hoco-b29-10000-mah-domon-power-ban/p/487601
Samsung,Galaxy Grand,"2,199.00 EGP","Samsung Galaxy Grand Prime Pro Dual SIM, 16GB, 1.5GB RAM, 4G LTE - Silver",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-grand-prime-pro-silv/p/486461
Samsung,"
          Exynos 9810","13,999.00 EGP","Samsung Galaxy S9 Dual SIM, 64GB, 6GB RAM, 4G LTE - Purple + Level U Wireless Headphone",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-s9-64gb-purple/p/486498
Huawei,"
          Qualcomm MSM8937","2,999.00 EGP","Huawei Y7 Prime 2018, 32GB, 3GB RAM, 4G LTE - Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/huawei-y7-prime-2018-black/p/487163
IQ&T,Ifoo,"1,099.00 EGP","IQ&T Ifoo N50 Dual SIM Smartphone - 16GB, 3G - Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mbl-ifoo-n50-iq-t/p/452097
IQ&T,ifoo,999.00 EGP,"IQ&T ifoo  Dual SIM, 8GB,  1GB RAM, 3G -  Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mbl-ifoo-h55-iq-t/p/471053
Samsung,"
          Exynos 9810","15,799.00 EGP","Samsung Galaxy S9+ Dual SIM - 64GB, 6GB RAM, 4G LTE - Grey + Samsung Wireless Charger",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-s9-plus-64gb-gray/p/486499
Samsung,"
          Exynos 9810","13,999.00 EGP","Samsung Galaxy S9 Dual SIM, 64GB, 4GB RAM, 4G LTE - Midnight Black + Level U Wireless Headphone",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-s9-64gb-black/p/486497
Samsung,Galaxy Grand,"2,199.00 EGP","Samsung Galaxy Grand Prime Pro Dual SIM, 16GB, 1.5GB RAM, 4G LTE - Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-grand-prime-pro-blac/p/486460
Huawei,Y7,"2,999.00 EGP","Huawei Y7 Prime 2018 Dual SIM, 32GB,  3GB RAM, 4G LTE -  Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/huawei-y7-prime-2018-gold/p/487165
Gionee,X1S,"1,999.00 EGP","Gionee X1S Smart Phone - 16GB, 3GB RAM - Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mbl-x1s-gionee/p/481246
iQ& T,G705QC,"1,099.00 EGP","iQ& T G705QC Tablet, 7 Inch, 8GB, 1 GB RAM, 3G - Black + Leather Case",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/tablets/tablet-pc/iq-t-tab-g705-qc-1r-8gb-3g-ds-blk/p/485176
Samsung,Galaxy J8,"4,799.00 EGP","Samsung Galaxy J8 - 64GB, 4GB RAM, 4G LTE - Blue",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-j8-blue/p/492410
Samsung,"
          Exynos 9810","13,999.00 EGP","Samsung Galaxy S9 Dual SIM, 64GB, 6GB RAM, 4G LTE - Gray + Level U Wireless Headphone",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-s9-64gb-gray/p/486496
Apple,iPhone,"10,990.00 EGP","Apple iPhone 6S Plus - 32GB, 2GB RAM, 4G LTE - Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/apple-iphone-6s-plus-32gb-gold/p/500554
Gionee,S11,"2,999.00 EGP","Gionee S11 Lite Dual SIM - 32GB, 4GB RAM, 4G LTE - Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mbl-gionee-s11-lite-gold/p/500556
Nokia,3310,"1,049.00 EGP","Nokia 3310 Dual SIM, 128MB, 64MB RAM, 3G - Red",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mbl-nokia-3310-3g-red/p/500558
HTC,Desire,"3,333.00 EGP","HTC Desire 12 Dual SIM - 32GB, 3GB RAM, 4G LTE - Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mbl-htc-desire-12-gold/p/500542
HTC,Desire,"3,333.00 EGP","HTC Desire 12 Dual SIM - 32GB, 3GB RAM, 4G LTE - Cool Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mbl-htc-desire-12-black/p/500541
Alcatel,A1,"1,199.00 EGP","Alcatel A1 , 8GB, 1GB RAM, 4G LTE -  Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mobile-alcatel-1-gold/p/500539
Itel,IT2160,189.00 EGP,"Itel IT2160 Dual SIM, 2G -  Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/basic-cell-phones/itel-it2160/p/495489
