Brand,Model Name,Category,HDMI,Sale Price(₹),Regular Price(₹),Seller
Blendia,HDMI Switcher 5 Ports with Remote Control 1.4b 501,"1x HDMI Switcher, 1x Remote",Yes,"1,234","1,999",LAPSON (4.1)
OYD,AnyCast M2 Plus Wireless WiFi Display Dongle Receiver 1080P HD Interface TV Stick DLNA Airplay Miracast for Smart Phones Tablet PC to HDTV Monitor,"1 * Wireless Airplay Wi-Fi Display Dongle Receiver, 1 * USB cable","Yes, NA","1,199","1,999",HINDUSTANSTORE (4)
Blendia,HDMI Splitter,HDMi Splitter-Power Supply Adapter- User Manual,Yes,899,"1,999",LAPSON (4.1)
MXQ,PRO Amlogic S905X Android 6.0 1GB RAM 8GB ROM Android TV Box Quad Core Set Top XBMC 4K Wifi,"1 x Android TV BOX, 1 x Power Adapter, 1 x HDMI Cable, 1 x Remote Controller (Without Batteries), 1 x User Manual","Yes, 2.0","2,900","9,999",ArtekWebDistributors (3.9)
Mezire,Anycast HDMI WiFi Display receiver Media Streaming Device (Black),1 Anycast,Yes,"1,099","1,199",Shopfloor (3.6)
ReTrack,SET OF 2PC 3x1 Port HDMI Switch 4K Auto Switcher Box 3-Port High Speed for Full HD 4K 1080P 3D-Player,2 HDMI Devices,Yes,899,"1,999",ReTrack (3.8)
ReTrack,SET OF 3PC 3x1 Port HDMI Switch 4K Auto Switcher Box 3-Port High Speed for Full HD 4K 1080P 3D-Player,3 HDMI Devices,Yes,"1,349","2,499",ReTrack (3.8)
Axcess,"2 input,4 Output HDMI Splitter/Switch",1 2*4 HDMI splitter,"Yes, hdmi 1.4","3,339","9,999",Britronics (3.5)
ReTrack,3x1 Port HDMI Switch 4K Auto Switcher Box 3-Port High Speed for Full HD 4K 1080P 3D-Player,1 HDMI Devices,Yes,499,"1,999",ReTrack (3.8)
SmartPower,M8S M8 Amlogic S812 Quad Core 2G 8G Dual Band 2.4G 5G WIFI BlueTooth4.0 Android4.4 Kitkat,"1 Android TV Box, 1 Power adaptor, 1 Remote control, 1 HDMI cable, 1 User manual",Yes,"6,999","9,999",SmartTech (3.7)
Smart Power,"2 input,4 Output HDMI Splitter/Switch",1 2*4 HDMI splitter,"Yes, hdmi 1.4","3,439","9,999",SmartShopee (3.8)
ReTrack,3x1 HDMI PORT Switch 4K Auto Switcher Box 3-Port High Speed for Full HD 4K 1080P 3D-Player,1 HDMI Devices,Yes,499,"1,999",ReTrack (3.8)
Mezire,Anycast Wifi HDMI Dongle Wireless Display Media Streaming Device Media Streaming Device Media Streaming Device (Black),1 Anycast,Yes,"1,099","1,199",Shopfloor (3.6)
Microware,3Port 1080P HDMI Switcher Splitter Video Selector Hub Box HDTV PS3 DVD New,1 selector_box,Yes,"1,999","2,999",NewTechStore (3.7)
Microware,Full HD HDMI Splitter 3 Port Hub Switcher Selector Splitter 1080p 3D IR Remote,1,Yes,"1,299","1,999",NewTechStore (3.7)
Microware,HDMI Splitter Switch Switcher Box with Selector Remote Control,1,Yes,"1,999","3,999",NewTechStore (3.7)
,,1 HDMI Drive,,"1,614","2,899",SHRIH (3.5)
Gentle E Kart,??? Miracast Dongle For TV eCosmos Anycast wifi HDMI Dongle Wireless Display To TV Selector Box Airplay WiFi Display Miracast,"Anycast TV Stick, USB Cable",Yes,"1,149","1,999",ONERETAIL (3.3)
Microware,4 Port 4x1 HDMI Switch Box 4K 3D 1080P PIP Switcher IR Remote Control Selector 1080p,"1 pcs - HDMI Switch, 1 pcs - IR Remote Control, 1 pcs - 5V Power Adapter, 1 pcs - User Manual",Yes,"5,999","12,999",SmartTech (3.7)
,"wifi HDMI Stick Wireless Display For Iphone Ipad Windows Pc Android,Tablets to TV Selector Box Airplay WiFi Display Miracast Compatible with XIAOMI-REDMI 4,REDMI 4A,MI6,MI5,MI MAX",1 HDMI Wireless Dongle,,"1,899","2,299",SHOPYUNLIMITED (3.8)
Fox Micro,3-Way Audio Video RCA Composite AV Video Game Selector Switch Box Splitter,COMPOSITE RCA AUDIO VIDEO SELECTOR SWITCHER,No,399,"1,499",HOT (3.8)
Axcess,"3x1 3 input 1 output Digital Optical Audio Switcher Toslink Selector Switch, Compatible with Fiber Optic Cables, HDTV, Blu-ray DVD player, PCM, Dolby Digital, DTS, XBOX360, PS3",1 Selector Switch,No,"1,499","1,999",SmartShopee (3.8)
