BRAND,MODEL,category,source,CATEGORY,HDMI,SALE_PRICE,REQULAR_PRICE,SELLER
Tata Sky,HD Box,tv,flipkart,"HD Set Top Box,Antenna, Universal Remote, HDMI Cable, 10-metre wire.",HDMI & CVBS out,"₹1,390","₹1,499",TataSkyestore (4.4)
Tata Sky,HD Connection,tv,flipkart,"HD Set-top-box, Antenna, Universal Remote, HDMI Cable, Digicard, 10 meter cable .",HDMI & CVBS out,"₹1,987","₹2,760",TataSkyestore (4.4)
Tata Sky,HD,tv,flipkart,"HD Set Top Box, HDMI Cable, Digicard, Universal remote, 10 meter wire.",HDMI & CVBS out,"₹1,399","₹2,000",TataSkyestore (4.4)
Dish TV,SD+ Connection- Tamil- Pack,tv,flipkart,"Set-top-box, Antenna, 10-metre wire, Universal Remote, AV Cable","AV Cable, HDMI","₹1,299","₹2,050",DISHINFRA (4.2)
Dish TV,HD Connection - Malayalam Pack,tv,flipkart,"Set-top-box, Antenna, 10-metre wire, Universal Remote, HDMI Cable",HDMI,"₹1,499","₹2,395",DISHINFRA (4.2)
Dish TV,SD+ Connection- Kannada- Pack,tv,flipkart,"Set-top-box, Antenna, 10-metre wire, Universal Remote, AV Cable","AV Cable, HDMI","₹1,299","₹2,050",DISHINFRA (4.2)
Dish TV,HD Connection - Popular HD,tv,flipkart,"Set-top-box, Antenna, 10-metre wire, Universal Remote, HDMI Cable",HDMI,"₹5,190","₹5,868",DISHINFRA (4.2)
Tata Sky,HD BOX,tv,flipkart,"IN THE BOX- HD SET TOP BOX, REMOTE WITH BATTERIES, HDMI CABLE, DIGICARD",HDMI & CVBS out,"₹1,710","₹2,260",TataSkyestore (4.4)
Tata Sky,HD box,tv,flipkart,"HD Set-top-box, Antenna, Universal Remote, HDMI Cable, Digicard, 10 meter cable .",HDMI & CVBS out,"₹1,799","₹2,420",TataSkyestore (4.4)
Tata Sky,HD Box,tv,flipkart,"HD Set Top Box, HDMI Cable, Digicard, Universal remote, 10 meter wire.",HDMI & CVBS out,"₹1,749","₹2,310",TataSkyestore (4.4)
Dish TV,HD Connection - Telugu Pack,tv,flipkart,"Set-top-box, Antenna, 10-metre wire, Universal Remote, HDMI Cable",HDMI,"₹1,499","₹2,395",DISHINFRA (4.2)
Tata Sky,HD Box,tv,flipkart,"HD Set Top Box, HDMI Cable, Digicard, Universal remote, 10 meter wire.",HDMI & CVBS out,"₹4,599","₹4,880",TataSkyestore (4.4)
Dish TV,HD Connection - Kannada Pack,tv,flipkart,"Set-top-box, Antenna, 10-metre wire, Universal Remote, HDMI Cable",HDMI,"₹1,499","₹2,395",DISHINFRA (4.2)
Tata Sky,HD Box,tv,flipkart,"HD Set Top Box, HDMI Cable, Digicard, Universal remote",HDMI & CVBS out,₹899,"₹1,199",TataSkyestore (4.4)
Dish TV,HD Connection - Tamil Pack,tv,flipkart,"Set-top-box, Antenna, 10-metre wire, Universal Remote, HDMI Cable",HDMI,"₹1,499","₹2,395",DISHINFRA (4.2)
Dish TV,SD+ Connection- Malayalam- Pack,tv,flipkart,"Set-top-box, Antenna, 10-metre wire, Universal Remote, AV Cable","AV Cable, HDMI","₹1,299","₹2,050",DISHINFRA (4.2)
Tata Sky,HD Box,tv,flipkart,"HD Set Top Box, HDMI Cable, Digicard, Universal remote, 10 meter wire.",HDMI & CVBS out,"₹1,749","₹2,320",TataSkyestore (4.4)
Tata Sky,HD Box,tv,flipkart,"HD Set Top Box, HDMI Cable, Digicard, Universal remote, 10 meter wire.",HDMI & CVBS out,"₹1,999","₹2,560",TataSkyestore (4.4)
Tata Sky,HD Box,tv,flipkart,"HD Set Top Box, HDMI Cable, Digicard, Universal remote, 10 meter wire.",HDMI & CVBS out,"₹3,799","₹4,160",TataSkyestore (4.4)
Dish TV,SD+ Connection- Telgu- Pack,tv,flipkart,"Set-top-box, Antenna, 10-metre wire, Universal Remote, AV Cable","AV Cable, HDMI","₹1,299","₹2,050",DISHINFRA (4.2)
Tata Sky,HD Box,tv,flipkart,"HD Set Top Box, HDMI Cable, Digicard, Universal remote, 10 meter wire.",HDMI & CVBS out,"₹3,619","₹3,990",TataSkyestore (4.4)
Tata Sky,HD Box,tv,flipkart,"HD Set Top Box, HDMI Cable, Digicard, Universal remote, 10 meter wire.",HDMI & CVBS out,"₹1,889","₹2,420",TataSkyestore (4.4)
Dish TV,HD Connection- Special Pack,tv,flipkart,"Set-top-box, Antenna, 10-metre wire, Universal Remote, HDMI Cable",HDMI,"₹1,499","₹2,835",DISHINFRA (4.2)
Dish TV,SD+ Connection - ALL India Pack,tv,flipkart,"Set-Top-Box, Antenna, 10-metre wire, Universal Remote, AV Cable","AV Cable, HDMI","₹1,299","₹2,050",DISHINFRA (4.2)
Tata Sky,HD Box,tv,flipkart,"HD Set Top Box, HDMI Cable, Digicard, Universal remote, 10 meter wire.",HDMI & CVBS out,"₹1,669","₹2,240",TataSkyestore (4.4)
Tata Sky,HD Box,tv,flipkart,"HD Set-top-box, Antenna, Universal Remote, HDMI Cable, Digicard, 10 meter cable .",HDMI & CVBS out,"₹1,629","₹2,199",TataSkyestore (4.4)
Dish TV,HD Connection - All India Pack,tv,flipkart,"Set-top-box, Antenna, 10-metre wire, Universal Remote, HDMI Cable",HDMI,"₹1,499","₹2,395",DISHINFRA (4.2)
