sellingPrice,url,model,seller,HDMI_Location,HDMI,regularPrice,source,brand,category,categories
"₹12,499",https://www.flipkart.com/vu-80cm-32-inch-hd-ready-led-tv/p/itmevmq4yt94u3uh?pid=TVSEVMQ42MBSAT54&srno=b_1_1&otracker=browse&lid=LSTTVSEVMQ42MBSAT54H7JHKB&fm=organic&iid=b5f956f7-732e-43ab-a147-221f3f291355.TVSEVMQ42MBSAT54.SEARCH,32D7545,OmniTechRetail (4.1),2 Back,2,"₹16,000",flipkart,Vu,tv,"[""Remote Controller 
 2 AAA Size Batteries 
 Power Cord 
 Cable Tie 
 User Manual 
 VESA Wall Mount""]"
"₹23,499",https://www.flipkart.com/sanyo-108-2cm-43-inch-full-hd-led-tv/p/itmff6znj3hcfcff?pid=TVSFF6ZNKZ32G7VP&srno=b_1_2&otracker=browse&lid=LSTTVSFF6ZNKZ32G7VPU1DMIC&fm=organic&iid=05c76708-36b6-4d9e-9691-2374f06814b6.TVSFF6ZNKZ32G7VP.SEARCH,XT-43S7100F,OmniTechRetail (4.1),2 Bottom,2,"₹38,990",flipkart,Sanyo,tv,"[""1 TV Unit"",""Pedestal"",""Remote"",""2 Batteries"",""User Manual"",""Wall Mount""]"
"₹22,999",https://www.flipkart.com/mi-led-smart-tv-4a-108-cm-43/p/itmf2wyxznqtdkct?pid=TVSF2WYXTKAR7RAF&srno=b_1_3&otracker=browse&lid=LSTTVSF2WYXTKAR7RAFSYVTEY&fm=organic&iid=09ec00a1-1e9b-4ca8-a27a-e58c7cd2ec5e.TVSF2WYXTKAR7RAF.SEARCH,L43M5-AI,,Side,3,"₹25,999",flipkart,Mi,tv,"[""TV Set"",""User Manual"",""Screws"",""Power Cord"",""Remote Control (Batteries for the Remote Control are Not Provided with the Package)""]"
"₹10,999",https://www.flipkart.com/marq-flipkart-80cm-32-inch-hd-ready-led-tv/p/itmf3zygdx7bvczc?pid=TVSEWMCBXTP4PJ3J&srno=b_1_4&otracker=browse&lid=LSTTVSEWMCBXTP4PJ3JWCBONT&fm=organic&iid=REQ021cadbec3604c32a190dc4c4e97bf6f_1,32DSHD,OmniTechRetail (4.1),2 Rear,2,"₹16,499",flipkart,MarQ,tv,"[""Television, Remote, Wallmount Stand, 2 x AAA Batteries, 2 x Desktop Stand, 4 x Stand Support Crews, User Manual""]"
"₹13,999",https://www.flipkart.com/mi-led-smart-tv-4a-80-cm-32/p/itmf2wyujh3gkdhg?pid=TVSF2WYUE4PWNJKM&srno=b_1_5&otracker=browse&lid=LSTTVSF2WYUE4PWNJKM3ZOYBD&fm=organic&iid=9361820a-8d1d-422b-8128-1eac1c32d6fe.TVSF2WYUE4PWNJKM.SEARCH,L32M5-AI,,Side,3,"₹15,999",flipkart,Mi,tv,"[""TV Set"",""User Manual"",""Screws"",""Power Cord"",""Remote Control (Batteries for the Remote Control are Not Provided with the Package)""]"
"₹13,499",https://www.flipkart.com/thomson-led-smart-tv-b9-80cm-32/p/itmf3yq8cy7qhx2j?pid=TVSF3T3XVG8GWPHN&srno=b_1_6&otracker=browse&lid=LSTTVSF3T3XVG8GWPHNSZJWKR&fm=organic&iid=8a7572c3-cd65-4fcc-a364-3ae03114ead5.TVSF3T3XVG8GWPHN.SEARCH,32M3277,,Side,3,"₹16,999",flipkart,Thomson,tv,"[""TV Unit, Remote Controller (Technology / Quantity): IR / 1, Battery (Size / Quantity): AAA / 2, User Manual, Wall Mount""]"
"₹15,499",https://www.flipkart.com/vu-80cm-32-inch-hd-ready-led-smart-tv/p/itmegdf83fudjtnq?pid=TVSEGDF8EECF9NGN&srno=b_1_7&otracker=browse&lid=LSTTVSEGDF8EECF9NGNVY1G2F&fm=organic&iid=fba032ea-7790-476e-bee8-a32a34c99a3d.TVSEGDF8EECF9NGN.SEARCH,32D6475_HD smart,OmniTechRetail (4.1),Back,3,"₹20,000",flipkart,Vu,tv,"[""TV Unit"",""Remote Controller (Technology / Quantity): IR / 1"",""Battery (Size / Quantity): AAA / 2"",""1 Power Cord"",""Cable Tie"",""1 User Manual"",""Vesa Wall Mount Dimensions (Horiz / Vert): 200 x 200 mm""]"
"₹19,999",https://www.flipkart.com/thomson-led-smart-tv-b9-102cm-40/p/itmf3yq8qj8cgfxy?pid=TVSF3T3XHGRBUXJB&srno=b_1_8&otracker=browse&lid=LSTTVSF3T3XHGRBUXJBR3ZWSA&fm=organic&iid=8d4a7247-51e6-4370-babd-72677cf84bab.TVSF3T3XHGRBUXJB.SEARCH,40M4099,,Side,3,"₹25,999",flipkart,Thomson,tv,"[""TV Unit, Remote Controller (Technology / Quantity): IR / 1, Battery (Size / Quantity): AAA / 2, User Manual, Wall Mount""]"
"₹17,999",https://www.flipkart.com/samsung-80cm-32-inch-hd-ready-led-tv/p/itme8yrfm32d4xzn?pid=TVSE8YRFSUBEHZB6&srno=b_1_9&otracker=browse&lid=LSTTVSE8YRFSUBEHZB680UQTL&fm=organic&iid=e9aeed82-0205-43ed-9e9f-fd4bb460921b.TVSE8YRFSUBEHZB6.SEARCH,32J4003,OmniTechRetail (4.1),null,2,"₹28,890",flipkart,Samsung,tv,"[""TV Unit"",""Remote Controller Model: TM1240A"",""Batteries (For Remote Control)"",""User Manual"",""Power Cable""]"
"₹18,999",https://www.flipkart.com/vu-102cm-40-inch-full-hd-led-tv/p/itmf2rfmpfhxevgy?pid=TVSF2RFMKVNZF2WF&srno=b_1_10&otracker=browse&lid=LSTTVSF2RFMKVNZF2WF3FROOQ&fm=organic&iid=b3e3124e-16ca-4db9-b7db-10ee86b41d41.TVSF2RFMKVNZF2WF.SEARCH,40D6535,OmniTechRetail (4.1),2 Back Side Bottom,2,"₹29,000",flipkart,Vu,tv,"[""1 TV Unit"",""Remote Controller"",""2 AAA Batteries"",""Power Cord"",""Cable Tie"",""User Manual"",""Table Top Stand"",""VESA Wall Mount""]"
