url,description,price,source,category
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-4-ua32m4000arlxl-hd-led-tv-80-cm-32.html,"Samsung Series 4 UA32M4000ARLXL HD LED TV, 80 cm (32)","Rs. 25,100",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-5-ua43m5570aulxl-full-hd-smart-led-tv-108-cm-43.html,"Samsung Series 5 UA43M5570AULXL Full HD Smart LED TV, 108 cm (43)","Rs. 55,900",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-klv-43w772e-full-hd-smart-led-tv-108-cm-43.html,"Sony KLV-43W772E Full HD Smart LED TV, 108 cm (43)","Rs. 54,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-5-ua43m5100akxxm-full-hd-led-tv-109-cm-43.html,"Samsung Series 5 UA43M5100AKXXM Full HD LED TV, 109 cm (43)","Rs. 44,400",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-4-ua32m4100arlxl-hd-led-tv-80-cm-32.html,"Samsung Series 4 UA32M4100ARLXL HD LED TV, 80 cm (32)","Rs. 26,900",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-bravia-klv-32w622e-hd-ready-smart-led-tv-80-cm-32.html,"Sony Bravia KLV-32W622E HD Ready Smart LED TV, 80 cm (32)","Rs. 30,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-klv-49w672e-full-hd-smart-led-tv-123-cm-49.html,"Sony KLV-49W672E Full HD Smart LED TV, 123 cm (49)","Rs. 64,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-5-ua32m5570aulxl-full-hd-smart-led-tv-80-cm-32.html,"Samsung Series 5 UA32M5570AULXL Full HD Smart LED TV, 80 cm (32)","Rs. 36,900",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-5-ua49m5570aulxl-full-hd-smart-led-tv-123-cm-49.html,"Samsung Series 5 UA49M5570AULXL Full HD Smart LED TV, 123 cm (49)","Rs. 68,900",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-bravia-klv-40r352e-full-hd-led-tv-101-6-cm-40.html,"Sony Bravia KLV-40R352E Full HD LED TV, 101.6 cm (40)","Rs. 40,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/panasonic-th-32es500d-hd-smart-led-tv-81-cm-32.html,"Panasonic TH-32ES500D HD Smart LED TV, 81 cm (32)","Rs. 29,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-qa65q8camklxl-ultra-hd-smart-curved-qled-tv-163-cm-65.html,"Samsung QA65Q8CAMKLXL Ultra HD Smart Curved QLED TV, 163 cm (65)","Rs. 364,900",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/lg-24lh480a-pt-full-hd-led-tv-60-cm-24.html,"LG 24LH480A-PT Full HD LED TV, 60 cm (24)","Rs. 13,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-qa55q7famklxl-ultra-hd-smart-qled-tv-138-cm-55.html,"Samsung QA55Q7FAMKLXL Ultra HD Smart QLED TV, 138 cm (55)","Rs. 219,900",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/panasonic-th-49ex600d-ultra-hd-smart-4k-led-tv-124-cm-49.html,"Panasonic TH-49EX600D Ultra HD Smart 4K LED TV, 124 cm (49)","Rs. 74,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/panasonic-th-55ex600d-ultra-hd-smart-4k-led-tv-139-cm-55.html,"Panasonic TH-55EX600D Ultra HD Smart 4K LED TV, 139 cm (55)","Rs. 89,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/lg-43lj531t-full-hd-led-tv-108-cm-43.html,"LG 43LJ531T Full HD LED TV, 108 cm (43)","Rs. 40,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/lg-43lj617t-full-hd-smart-led-tv-108-cm-43.html,"LG 43LJ617T Full HD Smart LED TV, 108 cm (43)","Rs. 55,790",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/lg-49uj752t-ultra-hd-smart-4k-led-tv-123-cm-49.html,"LG 49UJ752T Ultra HD Smart 4K LED TV, 123 cm (49)","Rs. 99,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/lg-49lj554t-full-hd-smart-led-tv-123-cm-49.html,"LG 49LJ554T Full HD Smart LED TV, 123 cm (49)","Rs. 63,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/lg-43uj632t-ultra-hd-smart-4k-led-tv-108-cm-43.html,"LG 43UJ632T Ultra HD Smart 4K LED TV, 108 cm (43)","Rs. 63,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-6-ue55mu6470uxxu-ultra-hd-smart-led-tv-139-cm-55.html,"Samsung Series 6 UE55MU6470UXXU Ultra HD Smart LED TV, 139 cm (55)","Rs. 119,900",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/lg-oled65e7t-ultra-hd-smart-oled-tv-164-cm-65.html,"LG OLED65E7T Ultra HD Smart OLED TV, 164 cm (65)","Rs. 459,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-5-ua55m5570aulxl-full-hd-smart-led-tv-138-cm-55.html,"Samsung Series 5 UA55M5570AULXL Full HD Smart LED TV, 138 cm (55)","Rs. 92,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/lg-oled55c7t-ultra-hd-smart-oled-tv-138-cm-55.html,"LG OLED55C7T Ultra HD Smart OLED TV, 138 cm (55)","Rs. 214,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-6-ue49mu6470uxxu-ultra-hd-smart-led-tv-124-5-cm-49.html,"Samsung Series 6 UE49MU6470UXXU Ultra HD Smart LED TV, 124.5 cm (49)","Rs. 104,900",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-7-series-un55mu7000fxza-ultra-hd-smart-4k-led-tv-139-cm-55.html,"Samsung 7 Series UN55MU7000FXZA Ultra HD Smart 4K LED TV, 139 cm (55)","Rs. 149,900",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/reconnect-releg3902-hd-led-tv-39-inch-99-cm-18028.html,"Reconnect RELEG2801 HD LED TV, 71 cm (28)","Rs. 11,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-bravia-klv-24p413d-hd-led-tv-24-inch-60-96-cm.html,"Sony Bravia KLV-24P413D HD LED TV, 60.96 cm (24)","Rs. 15,490",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/reconnect-releg3206-hd-led-tv-32-inch-81-28-cm.html,"Reconnect RELEG3206 HD LED TV, 81.28 cm (32)","Rs. 14,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-bravia-kdl-50w800d-full-hd-3d-smart-led-tv-50-inch-127-cm.html,"Sony Bravia KDL-50W800D Full HD 3D Smart LED TV, 127 cm (50)","Rs. 64,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-4-ua32k4300ar-hd-smart-led-tv-32-inch-81-28-cm.html,"Samsung Series 4 UA32K4300AR HD Smart LED TV, 81.28 cm (32)","Rs. 27,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-5-ua49k5300ar-full-hd-smart-led-tv-49-inch-124-46-cm.html,"Samsung Series 5 UA49K5300AR Full HD Smart LED TV, 124.46 cm (49)","Rs. 61,290",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-kdl-43w800d-full-hd-3d-smart-led-tv-43-inch-108-cm.html,"Sony KDL-43W800D Full HD 3D Smart LED TV, 108 cm (43)","Rs. 54,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/reconnect-relee4303-ultra-hd-smart-4k-led-tv-43-inch-109-22-cm.html,"Reconnect RELEE4303 Ultra HD Smart 4K LED TV, 109.22 cm (43)","Rs. 29,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-bravia-klv-40w672e-full-hd-smart-led-tv-40-inch-102-cm.html,"Sony Bravia KLV-40W672E Full HD Smart LED TV, 102 cm (40)","Rs. 48,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-bravia-klv-32r302e-hd-ready-led-tv-32-inch-80-cm.html,"Sony Bravia KLV-32R302E HD Ready LED TV, 80 cm (32)","Rs. 23,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-6-ua43ku6470umxl-ultra-hd-smart-4k-led-tv-43-inch-108-cm.html,"Samsung Series 6 UA43KU6470UMXL Ultra HD Smart 4K LED TV, 108 cm (43)","Rs. 69,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-bravia-klv-29p423d-hd-ready-led-tv-29-inch-72-4-cm.html,"Sony Bravia KLV-29P423D HD Ready LED TV, 72.4 cm (29)","Rs. 20,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-5-ua40k5570aulxl-full-hd-smart-led-tv-40-inch-101-cm.html,"Samsung Series 5 UA40K5570AULXL Full HD Smart LED TV, 101 cm (40)","Rs. 49,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-6-ua49ku6470umxl-ultra-hd-smart-4k-led-tv-49-inch-123-cm.html,"Samsung Series 6 UA49KU6470UMXL Ultra HD Smart 4K LED TV, 123 cm (49)","Rs. 59,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-kd-55x9000e-ultra-hd-smart-4k-led-tv-139-cm-55.html,"Sony KD-55X9000E Ultra HD Smart 4K LED TV, 139 cm (55)","Rs. 129,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-klv-49w772e-full-hd-smart-led-tv-123-cm-49.html,"Sony KLV-49W772E Full HD Smart LED TV, 123 cm (49)","Rs. 69,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-kd-65x9300e-ultra-hd-smart-4k-led-tv-164-cm-65.html,"Sony KD-65X9300E Ultra HD Smart 4K LED TV, 164 cm (65)","Rs. 219,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-kd-55x9300e-ultra-hd-smart-4k-led-tv-139-cm-55.html,"Sony KD-55X9300E Ultra HD Smart 4K LED TV, 139 cm (55)","Rs. 179,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-kd-43x8200e-ultra-hd-smart-4k-led-tv-108-cm-43.html,"Sony KD-43X8200E Ultra HD Smart 4K LED TV, 108 cm (43)","Rs. 79,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-qa65q7famwxxy-ultra-hd-smart-qled-tv-165-cm-65.html,"Samsung QA65Q7FAMWXXY Ultra HD Smart QLED TV, 165 cm (65)","Rs. 359,900",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-qa55q8camklxl-ultra-hd-smart-curved-qled-tv-138-cm-55.html,"Samsung QA55Q8CAMKLXL Ultra HD Smart Curved QLED TV, 138 cm (55)","Rs. 229,900",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-kd-43x7002e-ultra-hd-smart-4k-led-tv-108-cm-43.html,"Sony KD-43X7002E Ultra HD Smart 4K LED TV, 108 cm (43)","Rs. 60,990",reliancedigital,tv
